Index,Symbol,ID
1292,COL6A2,1292
1293,COL6A3,1293
1294,COL7A1,1294
1295,COL8A1,1295
1296,COL8A2,1296
1297,COL9A1,1297
1298,COL9A2,1298
1299,COL9A3,1299
1300,COL10A1,1300
1301,COL11A1,1301
1302,COL11A2,1302
1303,COL12A1,1303
1305,COL13A1,1305
1306,COL15A1,1306
1307,COL16A1,1307
1308,COL17A1,1308
1310,COL19A1,1310
1311,COMP,1311
1312,COMT,1312
1314,COPA,1314
1315,COPB1,1315
1316,KLF6,1316
1317,SLC31A1,1317
1318,SLC31A2,1318
1325,CORT,1325
1326,MAP3K8,1326
1327,COX4I1,1327
1329,COX5B,1329
1330,COX5BP1,1330
1331,COX5BP2,1331
1332,COX5BP3,1332
1333,COX5BP4,1333
1336,COX5BP7,1336
1337,COX6A1,1337
1338,COX6A1P1,1338
1339,COX6A2,1339
1340,COX6B1,1340
1342,COX6B1P2,1342
1343,COX6B1P3,1343
1345,COX6C,1345
1346,COX7A1,1346
1347,COX7A2,1347
1348,COX7A2P2,1348
1349,COX7B,1349
1350,COX7C,1350
1351,COX8A,1351
1352,COX10,1352
1353,COX11,1353
1355,COX15,1355
1356,CP,1356
1357,CPA1,1357
1358,CPA2,1358
1359,CPA3,1359
1360,CPB1,1360
1361,CPB2,1361
1362,CPD,1362
1363,CPE,1363
1364,CLDN4,1364
1365,CLDN3,1365
1366,CLDN7,1366
1368,CPM,1368
1369,CPN1,1369
1370,CPN2,1370
1371,CPOX,1371
1373,CPS1,1373
1374,CPT1A,1374
1375,CPT1B,1375
1376,CPT2,1376
1378,CR1,1378
1379,CR1L,1379
1380,CR2,1380
1381,CRABP1,1381
1382,CRABP2,1382
1384,CRAT,1384
1385,CREB1,1385
1386,ATF2,1386
1387,CREBBP,1387
1388,ATF6B,1388
1389,CREBL2,1389
1390,CREM,1390
1392,CRH,1392
1393,CRHBP,1393
1394,CRHR1,1394
1395,CRHR2,1395
1396,CRIP1,1396
1397,CRIP2,1397
1398,CRK,1398
1399,CRKL,1399
1400,CRMP1,1400
1401,CRP,1401
1404,HAPLN1,1404
1406,CRX,1406
1407,CRY1,1407
1408,CRY2,1408
1409,CRYAA,1409
1410,CRYAB,1410
1411,CRYBA1,1411
1412,CRYBA2,1412
1413,CRYBA4,1413
1414,CRYBB1,1414
1415,CRYBB2,1415
1416,CRYBB2P1,1416
1417,CRYBB3,1417
1418,CRYGA,1418
1419,CRYGB,1419
1420,CRYGC,1420
1421,CRYGD,1421
1423,CRYGFP,1423
1424,CRYGGP,1424
1427,CRYGS,1427
1428,CRYM,1428
1429,CRYZ,1429
1430,CRYZP1,1430
1431,CS,1431
1432,MAPK14,1432
1434,CSE1L,1434
1435,CSF1,1435
1436,CSF1R,1436
1437,CSF2,1437
1438,CSF2RA,1438
1439,CSF2RB,1439
1440,CSF3,1440
1441,CSF3R,1441
1442,CSH1,1442
1443,CSH2,1443
1444,CSHL1,1444
1445,CSK,1445
1446,CSN1S1,1446
1447,CSN2,1447
1448,CSN3,1448
1452,CSNK1A1,1452
1453,CSNK1D,1453
1454,CSNK1E,1454
1455,CSNK1G2,1455
1456,CSNK1G3,1456
1457,CSNK2A1,1457
1459,CSNK2A2,1459
1460,CSNK2B,1460
1462,VCAN,1462
1463,NCAN,1463
1464,CSPG4,1464
1465,CSRP1,1465
1466,CSRP2,1466
1467,CSRP2P1,1467
1468,SLC25A10,1468
1469,CST1,1469
1470,CST2,1470
1471,CST3,1471
1472,CST4,1472
1473,CST5,1473
1474,CST6,1474
1475,CSTA,1475
1476,CSTB,1476
1477,CSTF1,1477
1478,CSTF2,1478
1479,CSTF3,1479
1480,CSTP1,1480
1481,CSTP2,1481
1485,CTAG1B,1485
1486,CTBS,1486
1487,CTBP1,1487
1488,CTBP2,1488
1489,CTF1,1489
1490,CTGF,1490
1491,CTH,1491
1493,CTLA4,1493
1495,CTNNA1,1495
1496,CTNNA2,1496
1497,CTNS,1497
1498,CTNNA1P1,1498
1499,CTNNB1,1499
1500,CTNND1,1500
1501,CTNND2,1501
1503,CTPS1,1503
1504,CTRB1,1504
1506,CTRL,1506
1508,CTSB,1508
1509,CTSD,1509
1510,CTSE,1510
1511,CTSG,1511
1512,CTSH,1512
1513,CTSK,1513
1514,CTSL,1514
1515,CTSV,1515
1517,CTSLP2,1517
1518,CTSLP8,1518
1519,CTSO,1519
1520,CTSS,1520
1521,CTSW,1521
1522,CTSZ,1522
1523,CUX1,1523
1524,CX3CR1,1524
1525,CXADR,1525
1527,TEX28,1527
1528,CYB5A,1528
1531,CYB5AP3,1531
1532,CYB5AP4,1532
1534,CYB561,1534
1535,CYBA,1535
1536,CYBB,1536
1537,CYC1,1537
1538,CYLC1,1538
1539,CYLC2,1539
1540,CYLD,1540
1543,CYP1A1,1543
1544,CYP1A2,1544
1545,CYP1B1,1545
1548,CYP2A6,1548
1549,CYP2A7,1549
1550,CYP2A7P1,1550
1551,CYP3A7,1551
1553,CYP2A13,1553
1555,CYP2B6,1555
1556,CYP2B7P,1556
1557,CYP2C19,1557
1558,CYP2C8,1558
1559,CYP2C9,1559
1562,CYP2C18,1562
1564,CYP2D7,1564
1565,CYP2D6,1565
1568,CYP2D8P,1568
1571,CYP2E1,1571
1572,CYP2F1,1572
1573,CYP2J2,1573
1576,CYP3A4,1576
1577,CYP3A5,1577
1578,CYP3A51P,1578
1579,CYP4A11,1579
1580,CYP4B1,1580
1581,CYP7A1,1581
1582,CYP8B1,1582
1583,CYP11A1,1583
1584,CYP11B1,1584
1585,CYP11B2,1585
1586,CYP17A1,1586
1587,ADAM3A,1587
1588,CYP19A1,1588
1589,CYP21A2,1589
1590,CYP21A1P,1590
1591,CYP24A1,1591
1592,CYP26A1,1592
1593,CYP27A1,1593
1594,CYP27B1,1594
1595,CYP51A1,1595
1596,ADAM3B,1596
1600,DAB1,1600
1601,DAB2,1601
1602,DACH1,1602
1603,DAD1,1603
1604,CD55,1604
1605,DAG1,1605
1606,DGKA,1606
1607,DGKB,1607
1608,DGKG,1608
1609,DGKQ,1609
1610,DAO,1610
1611,DAP,1611
1612,DAPK1,1612
1613,DAPK3,1613
1615,DARS,1615
1616,DAXX,1616
1617,DAZ1,1617
1618,DAZL,1618
1620,BRINP1,1620
1621,DBH,1621
1622,DBI,1622
1623,DBIP2,1623
1624,DBIP1,1624
1627,DBN1,1627
1628,DBP,1628
1629,DBT,1629
1630,DCC,1630
1632,ECI1,1632
1633,DCK,1633
1634,DCN,1634
1635,DCTD,1635
1636,ACE,1636
1638,DCT,1638
1639,DCTN1,1639
1641,DCX,1641
1642,DDB1,1642
1643,DDB2,1643
1644,DDC,1644
1645,AKR1C1,1645
1646,AKR1C2,1646
1647,GADD45A,1647
1648,GADD45AP1,1648
1649,DDIT3,1649
1650,DDOST,1650
1652,DDT,1652
1653,DDX1,1653
1654,DDX3X,1654
1655,DDX5,1655
1656,DDX6,1656
1657,DMXL1,1657
1659,DHX8,1659
1660,DHX9,1660
1661,DHX9P1,1661
1662,DDX10,1662
1663,DDX11,1663
1665,DHX15,1665
1666,DECR1,1666
1667,DEFA1,1667
1668,DEFA3,1668
1669,DEFA4,1669
1670,DEFA5,1670
1671,DEFA6,1671
