,CSNK1A1,CSNK1E,CSNK1D,HRR25,CSNK1A1L
23192,0.0,1.0,1.0,0.0,0.0
23286,0.0,1.0,0.0,0.0,0.0
23299,0.0,1.0,1.0,0.0,0.0
23770,0.0,1.0,0.0,0.0,0.0
25793,0.0,1.0,0.0,0.0,0.0
26043,0.0,1.0,0.0,0.0,0.0
266971,0.0,1.0,0.0,0.0,0.0
27091,0.0,2.0,2.0,0.0,0.0
27092,0.0,1.0,1.0,0.0,0.0
27338,0.0,1.0,0.0,0.0,0.0
284996,0.0,1.0,0.0,0.0,0.0
29100,0.0,1.0,0.0,0.0,0.0
29896,0.0,3.0,1.0,0.0,0.0
330,0.0,1.0,0.0,0.0,0.0
3638,0.0,1.0,0.0,0.0,0.0
3718,0.0,1.0,0.0,0.0,0.0
3739,0.0,1.0,0.0,0.0,0.0
3796,0.0,1.0,0.0,0.0,0.0
4043,0.0,1.0,1.0,0.0,0.0
4055,0.0,2.0,0.0,0.0,0.0
4077,0.0,1.0,0.0,0.0,0.0
4799,0.0,1.0,0.0,0.0,0.0
494119,0.0,1.0,0.0,0.0,0.0
51073,0.0,1.0,0.0,0.0,0.0
51141,0.0,1.0,0.0,0.0,0.0
51204,0.0,1.0,0.0,0.0,0.0
51233,0.0,3.0,1.0,0.0,0.0
51490,0.0,1.0,0.0,0.0,0.0
5170,0.0,1.0,2.0,0.0,0.0
5305,0.0,1.0,0.0,0.0,0.0
54509,0.0,1.0,0.0,0.0,0.0
54819,0.0,1.0,0.0,0.0,0.0
54851,0.0,2.0,2.0,0.0,1.0
54888,0.0,1.0,0.0,0.0,0.0
5499,0.0,1.0,0.0,0.0,0.0
5514,0.0,1.0,1.0,0.0,0.0
55177,0.0,1.0,1.0,0.0,0.0
55217,0.0,1.0,0.0,0.0,0.0
55319,0.0,1.0,0.0,0.0,0.0
55646,0.0,1.0,0.0,0.0,0.0
5566,0.0,1.0,0.0,0.0,0.0
56001,0.0,2.0,2.0,0.0,0.0
5601,0.0,1.0,0.0,0.0,0.0
5720,0.0,1.0,0.0,0.0,0.0
57506,0.0,1.0,0.0,0.0,0.0
57584,0.0,1.0,1.0,0.0,0.0
5789,0.0,1.0,1.0,0.0,0.0
60468,0.0,1.0,0.0,0.0,0.0
6102,0.0,3.0,3.0,0.0,0.0
6259,0.0,1.0,0.0,0.0,0.0
636,0.0,1.0,0.0,0.0,0.0
637,0.0,1.0,0.0,0.0,0.0
63915,0.0,1.0,0.0,0.0,0.0
63943,0.0,2.0,2.0,0.0,1.0
6447,0.0,1.0,0.0,0.0,0.0
6602,0.0,1.0,0.0,0.0,0.0
6924,0.0,1.0,0.0,0.0,0.0
705,0.0,1.0,2.0,0.0,0.0
7132,0.0,2.0,0.0,0.0,1.0
7158,0.0,1.0,0.0,0.0,0.0
7289,0.0,1.0,0.0,0.0,0.0
7322,0.0,1.0,0.0,0.0,0.0
7434,0.0,1.0,0.0,0.0,0.0
753,0.0,3.0,1.0,0.0,0.0
760,0.0,1.0,0.0,0.0,0.0
79869,0.0,1.0,1.0,0.0,0.0
80184,0.0,1.0,0.0,0.0,0.0
8153,0.0,1.0,0.0,0.0,0.0
81559,0.0,1.0,0.0,0.0,0.0
830,0.0,1.0,0.0,0.0,0.0
84254,0.0,1.0,0.0,0.0,0.0
84285,0.0,1.0,0.0,0.0,0.0
8449,0.0,1.0,0.0,0.0,0.0
84553,0.0,1.0,0.0,0.0,0.0
84985,0.0,1.0,0.0,0.0,0.0
85395,0.0,2.0,0.0,0.0,0.0
899,0.0,1.0,0.0,0.0,0.0
9128,0.0,1.0,0.0,0.0,0.0
9129,0.0,1.0,0.0,0.0,0.0
923,0.0,1.0,0.0,0.0,0.0
92675,0.0,1.0,0.0,0.0,0.0
9353,0.0,1.0,0.0,0.0,0.0
93974,0.0,1.0,0.0,0.0,0.0
93986,0.0,2.0,0.0,0.0,0.0
94134,0.0,1.0,0.0,0.0,0.0
9616,0.0,1.0,0.0,0.0,0.0
9631,0.0,1.0,0.0,0.0,0.0
9824,0.0,1.0,0.0,0.0,0.0
10133,0.0,0.0,1.0,0.0,0.0
10142,0.0,0.0,2.0,0.0,0.0
10241,0.0,0.0,1.0,0.0,0.0
10940,0.0,0.0,1.0,0.0,0.0
114836,0.0,0.0,1.0,0.0,0.0
10262,0.0,0.0,1.0,0.0,0.0
10600,0.0,0.0,1.0,0.0,0.0
10614,0.0,0.0,1.0,0.0,0.0
11273,0.0,0.0,1.0,0.0,0.0
114088,0.0,0.0,1.0,0.0,0.0
1385,0.0,0.0,1.0,0.0,0.0
143684,0.0,0.0,1.0,0.0,0.0
1656,0.0,0.0,1.0,0.0,0.0
199870,0.0,0.0,1.0,0.0,0.0
2037,0.0,0.0,1.0,0.0,0.0
2273,0.0,0.0,1.0,0.0,0.0
23076,0.0,0.0,1.0,0.0,0.0
23560,0.0,0.0,1.0,0.0,0.0
25879,0.0,0.0,1.0,0.0,0.0
25940,0.0,0.0,1.0,0.0,0.0
2697,0.0,0.0,1.0,0.0,0.0
29890,0.0,0.0,1.0,0.0,0.0
3091,0.0,0.0,1.0,0.0,0.0
3202,0.0,0.0,1.0,0.0,0.0
3791,0.0,0.0,2.0,0.0,0.0
4087,0.0,0.0,1.0,0.0,0.0
4088,0.0,0.0,1.0,0.0,0.0
4089,0.0,0.0,1.0,0.0,0.0
4204,0.0,0.0,1.0,0.0,0.0
4236,0.0,0.0,1.0,0.0,0.0
5371,0.0,0.0,1.0,0.0,0.0
541468,0.0,0.0,1.0,0.0,0.0
54606,0.0,0.0,1.0,0.0,0.0
55269,0.0,0.0,1.0,0.0,0.0
5536,0.0,0.0,1.0,0.0,0.0
55660,0.0,0.0,1.0,0.0,0.0
55775,0.0,0.0,2.0,0.0,0.0
56257,0.0,0.0,1.0,0.0,0.0
58517,0.0,0.0,1.0,0.0,0.0
5861,0.0,0.0,1.0,0.0,0.0
6223,0.0,0.0,1.0,0.0,0.0
64770,0.0,0.0,1.0,0.0,0.0
653121,0.0,0.0,1.0,0.0,0.0
6672,0.0,0.0,1.0,0.0,0.0
672,0.0,0.0,1.0,0.0,0.0
6873,0.0,0.0,1.0,0.0,0.0
7155,0.0,0.0,1.0,0.0,0.0
7528,0.0,0.0,1.0,0.0,0.0
79753,0.0,0.0,1.0,0.0,0.0
81608,0.0,0.0,1.0,0.0,0.0
84081,0.0,0.0,1.0,0.0,0.0
84922,0.0,0.0,1.0,0.0,0.0
8535,0.0,0.0,1.0,0.0,0.0
8899,0.0,0.0,1.0,0.0,0.0
905,0.0,0.0,1.0,0.0,0.0
90861,0.0,0.0,1.0,0.0,0.0
9092,0.0,0.0,1.0,0.0,0.0
9391,0.0,0.0,1.0,0.0,0.0
9878,0.0,0.0,1.0,0.0,0.0
9908,0.0,0.0,1.0,0.0,0.0
1814,0.0,0.0,1.0,0.0,0.0
2022,0.0,0.0,1.0,0.0,0.0
2146,0.0,0.0,1.0,0.0,0.0
